Date,topic_coherence,topic_coherence_diff,recon_ratio
25/02/2014,0.690634155,0.936661065,0.00422043
26/02/2014,0.732520103,0.890294671,0.008079894
27/02/2014,0.698440742,0.923904061,0.007715998
28/02/2014,0.676205826,0.925361037,0.00750141
03/03/2014,0.682923317,0.883635044,0.007546846
04/03/2014,0.727727318,0.932442367,0.003082325
05/03/2014,0.646893883,0.870357037,0.005352656
06/03/2014,0.640371513,0.857858539,0.005500619
07/03/2014,0.689001799,0.895697117,0.006878756
10/03/2014,0.693016624,0.867051959,0.005607683
11/03/2014,0.738119316,0.932511628,0.003715217
12/03/2014,0.722139883,0.874929249,0.007453377
13/03/2014,0.686868143,0.884390056,0.006421659
14/03/2014,0.70941143,0.889250398,0.006995649
17/03/2014,0.635814095,0.922758877,0.008608385
18/03/2014,0.545299149,0.885994077,0.002638214
19/03/2014,0.692699432,0.78522718,0.005171985
20/03/2014,0.610942364,0.902533531,0.005941707
21/03/2014,0.681868553,0.827881813,0.004511162
24/03/2014,0.660940075,0.861759365,0.008798374
25/03/2014,0.725673294,0.894788921,0.004102041
